x0_pop,1,-0.288284,0.255609,0.027359,0.0202208,-0.0440518,0.0278968,0.0504529,0.0375307,-0.157771,0.0134543
a_pop,-0.288284,1,-0.276194,-0.0367664,0.0124231,0.35289,-0.21874,-0.124393,-0.16111,0.16845,-0.0215767
b1_pop,0.255609,-0.276194,1,-0.00382088,-0.495417,-0.0575344,0.0303232,0.0656763,0.155764,0.0402534,0.0182605
beta_b1_N803_1,0.027359,-0.0367664,-0.00382088,1,-0.637652,-0.01167,0.0219921,0.0330092,0.0908923,-0.217019,-0.0369582
beta_b1_RhmAbs_1,0.0202208,0.0124231,-0.495417,-0.637652,1,0.0205152,-0.0172674,0.0258363,-0.0732254,-0.180586,0.0139895
b2_pop,-0.0440518,0.35289,-0.0575344,-0.01167,0.0205152,1,-0.844875,-0.0187657,0.102582,-0.0301363,0.225771
beta_b2_N803_1,0.0278968,-0.21874,0.0303232,0.0219921,-0.0172674,-0.844875,1,0.00208261,-0.125323,0.0580239,-0.0777936
omega_x0,0.0504529,-0.124393,0.0656763,0.0330092,0.0258363,-0.0187657,0.00208261,1,0.23193,-0.132652,-0.0968078
omega_a,0.0375307,-0.16111,0.155764,0.0908923,-0.0732254,0.102582,-0.125323,0.23193,1,-0.162928,-0.0775275
omega_b1,-0.157771,0.16845,0.0402534,-0.217019,-0.180586,-0.0301363,0.0580239,-0.132652,-0.162928,1,0.000370325
a_,0.0134543,-0.0215767,0.0182605,-0.0369582,0.0139895,0.225771,-0.0777936,-0.0968078,-0.0775275,0.000370325,1
