id,x0_SAEM,a_SAEM,b1_SAEM,b2_SAEM,x0_mean,a_mean,b1_mean,b2_mean,x0_mode,a_mode,b1_mode,b2_mode,x0_sd,a_sd,b1_sd,b2_sd,N803,RhmAbs,group
RAn22,7.60867,-4.68779,0.688001,0.0618487,7.65243,-4.71973,0.694905,0.0615656,7.62912,-4.67942,0.687632,0.0615656,0.326476,0.418501,0.0629061,0,0,0,1
RBm22,6.55386,-4.39126,0.75666,0.0618487,6.52979,-4.33769,0.756395,0.0615656,6.55509,-4.35466,0.754678,0.0615656,0.297302,0.444857,0.0563193,0,0,0,1
RDm22,7.23085,-4.3291,0.718102,0.0618487,7.30016,-4.38834,0.716459,0.0615656,7.24679,-4.31897,0.714952,0.0615656,0.308944,0.379806,0.0565696,0,0,0,1
RGn22,6.9602,-4.45524,0.733877,0.0618487,6.96187,-4.46882,0.728387,0.0615656,6.99412,-4.46313,0.731357,0.0615656,0.287892,0.44311,0.0527711,0,0,0,1
RKr22,4.81776,-4.60015,0.748417,0.0618487,4.76229,-4.51208,0.742037,0.0615656,4.77857,-4.47719,0.743161,0.0615656,0.368232,0.788037,0.0511811,0,0,0,1
RQl22,7.43628,-4.6338,0.702025,0.0618487,7.46734,-4.69027,0.700566,0.0615656,7.46093,-4.64756,0.698488,0.0615656,0.306161,0.403305,0.055054,0,0,0,1
RWl22,7.05691,-5.10584,0.707584,0.0618487,7.09955,-5.20338,0.710729,0.0615656,7.07728,-5.06138,0.706677,0.0615656,0.324289,0.542185,0.0536685,0,0,0,1
RCt22,6.61806,-4.04458,1.36757,0.0618487,6.62822,-4.0021,1.39948,0.0615656,6.6358,-4.01259,1.39366,0.0615656,0.349386,0.412431,0.063307,0,0,1,2
RFo22,7.1453,-4.87742,1.36802,0.0618487,7.16873,-4.86449,1.38753,0.0615656,7.18659,-4.86566,1.38626,0.0615656,0.352832,0.454706,0.0554433,0,0,1,2
RIn22,7.41461,-5.62811,1.39243,0.0618487,7.38275,-5.64441,1.40509,0.0615656,7.43982,-5.54059,1.40542,0.0615656,0.305802,0.523545,0.0552775,0,0,1,2
RKn22,6.72641,-4.64243,1.34848,0.0618487,6.73055,-4.60287,1.38054,0.0615656,6.71072,-4.40735,1.38148,0.0615656,0.360993,0.615174,0.0590379,0,0,1,2
RNs22,6.65154,-3.24624,1.37526,0.0618487,6.63198,-3.21946,1.39191,0.0615656,6.62216,-3.19501,1.39545,0.0615656,0.359378,0.408266,0.0579175,0,0,1,2
RUm22,7.08762,-4.5178,1.36869,0.0618487,7.05943,-4.49575,1.37323,0.0615656,7.11847,-4.51725,1.38056,0.0615656,0.351292,0.428943,0.0554982,0,0,1,2
RYn22,6.79273,-2.77099,1.37381,0.0618487,6.73311,-2.73032,1.40424,0.0615656,6.78413,-2.76724,1.39517,0.0615656,0.369399,0.412262,0.0551269,0,0,1,2
REp22,7.66553,-4.45259,0.58641,0.0336721,7.63601,-4.40545,0.578954,0.0330315,7.63292,-4.40072,0.577116,0.0330315,0.283646,0.345843,0.0512605,0,1,1,3
RLq22,7.73055,-4.37409,0.613786,0.0336721,7.57799,-4.22967,0.595021,0.0330315,7.67552,-4.3386,0.598347,0.0330315,0.291213,0.313913,0.0578965,0,1,1,3
RNq22,7.11037,-5.07417,0.606838,0.0336721,7.08834,-5.0796,0.596121,0.0330315,7.09912,-5.00341,0.603203,0.0330315,0.308689,0.443687,0.0582538,0,1,1,3
RTo22,7.61755,-4.52848,0.590955,0.0336721,7.65462,-4.61009,0.575955,0.0330315,7.60058,-4.53453,0.575419,0.0330315,0.292712,0.354223,0.0577556,0,1,1,3
RZo22,5.24372,-4.69048,0.627537,0.0336721,5.17626,-4.54484,0.618958,0.0330315,5.20469,-4.54796,0.61575,0.0330315,0.325506,0.660968,0.0518568,0,1,1,3
