id,eta_x0_SAEM,eta_a_SAEM,eta_b1_SAEM,eta_b2_SAEM,eta_x0_mean,eta_a_mean,eta_b1_mean,eta_b2_mean,eta_x0_mode,eta_a_mode,eta_b1_mode,eta_b2_mode,eta_x0_sd,eta_a_sd,eta_b1_sd,eta_b2_sd,N803,RhmAbs,group
RAn22,0.688468,-0.212504,-0.0327272,0,0.734919,-0.262192,-0.0255134,0,0.711608,-0.221882,-0.0327871,0,0.326476,0.418501,0.0629061,0,0,0,1
RBm22,-0.366342,0.0840191,0.0359325,0,-0.387719,0.119844,0.0359759,0,-0.362421,0.102871,0.0342591,0,0.297302,0.444857,0.0563193,0,0,0,1
RDm22,0.310646,0.146182,-0.00262584,0,0.382653,0.069195,-0.00395981,0,0.329282,0.138566,-0.00546715,0,0.308944,0.379806,0.0565696,0,0,0,1
RGn22,0.0399976,0.0200398,0.0131488,0,0.0443644,-0.0112831,0.00796777,0,0.076614,-0.00559734,0.0109383,0,0.287892,0.44311,0.0527711,0,0,0,1
RKr22,-2.10244,-0.124868,0.0276892,0,-2.15522,-0.0545422,0.0216182,0,-2.13894,-0.0196594,0.022742,0,0.368232,0.788037,0.0511811,0,0,0,1
RQl22,0.516072,-0.158517,-0.0187027,0,0.549833,-0.232735,-0.0198525,0,0.543419,-0.19003,-0.0219313,0,0.306161,0.403305,0.055054,0,0,0,1
RWl22,0.136703,-0.630552,-0.013144,0,0.182043,-0.745843,-0.00969022,0,0.159765,-0.60385,-0.0137419,0,0.324289,0.542185,0.0536685,0,0,0,1
RCt22,-0.302151,0.4307,-0.000238234,0,-0.289291,0.455436,0.00872273,0,-0.281712,0.444942,0.00290458,0,0.349386,0.412431,0.063307,0,0,1,2
RFo22,0.225096,-0.402134,0.000210968,0,0.251219,-0.406955,-0.00322688,0,0.269078,-0.408131,-0.00450053,0,0.352832,0.454706,0.0554433,0,0,1,2
RIn22,0.494402,-1.15283,0.0246164,0,0.465239,-1.18687,0.0143312,0,0.522309,-1.08305,0.0146582,0,0.305802,0.523545,0.0552775,0,0,1,2
RKn22,-0.193802,-0.167149,-0.0193292,0,-0.186956,-0.14534,-0.0102151,0,-0.206793,0.0501838,-0.00928176,0,0.360993,0.615174,0.0590379,0,0,1,2
RNs22,-0.268666,1.22904,0.00745135,0,-0.285533,1.23808,0.00115603,0,-0.295351,1.26252,0.00469312,0,0.359378,0.408266,0.0579175,0,0,1,2
RUm22,0.16741,-0.0425214,0.000881189,0,0.141917,-0.0382199,-0.0175284,0,0.200957,-0.0597212,-0.0101939,0,0.351292,0.428943,0.0554982,0,0,1,2
RYn22,-0.127478,1.70429,0.00600023,0,-0.1844,1.72721,0.0134787,0,-0.13338,1.69029,0.00441378,0,0.369399,0.412262,0.0551269,0,0,1,2
REp22,0.745324,0.0226966,-0.021346,0,0.718499,0.0520871,-0.015939,0,0.715406,0.0568141,-0.0177778,0,0.283646,0.345843,0.0512605,0,1,1,3
RLq22,0.81034,0.101196,0.0060301,0,0.660483,0.227863,0.000127913,0,0.758007,0.118932,0.00345393,0,0.291213,0.313913,0.0578965,0,1,1,3
RNq22,0.190165,-0.598886,-0.00091755,0,0.170833,-0.622071,0.00122761,0,0.181612,-0.545879,0.00830957,0,0.308689,0.443687,0.0582538,0,1,1,3
RTo22,0.697341,-0.0531987,-0.0168009,0,0.737115,-0.152554,-0.018938,0,0.683067,-0.0769941,-0.0194745,0,0.292712,0.354223,0.0577556,0,1,1,3
RZo22,-1.67648,-0.215193,0.0197815,0,-1.74125,-0.0873036,0.0240643,0,-1.71282,-0.0904285,0.020857,0,0.325506,0.660968,0.0518568,0,1,1,3
