rep,id,x0,a,b1,b2,N803,RhmAbs,group
1,RAn22,7.6371,-4.63843,0.763589,0.0615656,0,0,1
1,RBm22,6.45616,-4.34847,0.826645,0.0615656,0,0,1
1,RDm22,7.48494,-4.06914,0.715153,0.0615656,0,0,1
1,RGn22,6.91019,-4.81141,0.667243,0.0615656,0,0,1
1,RKr22,4.96708,-4.42623,0.739164,0.0615656,0,0,1
1,RQl22,7.62509,-5.22225,0.728324,0.0615656,0,0,1
1,RWl22,7.01419,-4.97365,0.729413,0.0615656,0,0,1
1,RCt22,5.614,-2.74616,1.42116,0.0615656,0,1,2
1,RFo22,6.56461,-4.56853,1.3353,0.0615656,0,1,2
1,RIn22,6.8342,-5.41181,1.35206,0.0615656,0,1,2
1,RKn22,7.20831,-4.65914,1.4149,0.0615656,0,1,2
1,RNs22,6.49765,-3.28431,1.38858,0.0615656,0,1,2
1,RUm22,7.16517,-4.82602,1.52875,0.0615656,0,1,2
1,RYn22,6.26051,-2.33094,1.44861,0.0615656,0,1,2
1,REp22,7.93298,-4.61604,0.676485,0.0330315,1,1,3
1,RLq22,7.82532,-4.57951,0.604843,0.0330315,1,1,3
1,RNq22,7.07762,-4.74644,0.567531,0.0330315,1,1,3
1,RTo22,7.46093,-4.5949,0.621719,0.0330315,1,1,3
1,RZo22,5.51858,-4.19832,0.547865,0.0330315,1,1,3
