rep,id,eta_x0,eta_a,eta_b1,eta_b2,N803,RhmAbs,group
1,RAn22,0.719588,-0.180894,0.0431705,0,0,0,1
1,RBm22,-0.461351,0.109062,0.106226,0,0,0,1
1,RDm22,0.56743,0.388392,-0.00526565,0,0,0,1
1,RGn22,-0.00731643,-0.353872,-0.0531761,0,0,0,1
1,RKr22,-1.95043,0.0312994,0.018745,0,0,0,1
1,RQl22,0.70758,-0.764713,0.00790524,0,0,0,1
1,RWl22,0.0966828,-0.516114,0.00899397,0,0,0,1
1,RCt22,-1.30351,1.71138,0.0303991,0,0,1,2
1,RFo22,-0.352901,-0.110999,-0.0554596,0,0,1,2
1,RIn22,-0.0833118,-0.954274,-0.0386954,0,0,1,2
1,RKn22,0.290805,-0.201603,0.0241375,0,0,1,2
1,RNs22,-0.419857,1.17322,-0.00217871,0,0,1,2
1,RUm22,0.247665,-0.368486,0.137994,0,0,1,2
1,RYn22,-0.657005,2.1266,0.0578507,0,0,1,2
1,REp22,1.01547,-0.158507,0.081592,0,1,1,3
1,RLq22,0.907806,-0.121981,0.00994995,0,1,1,3
1,RNq22,0.160115,-0.288906,-0.0273621,0,1,1,3
1,RTo22,0.543417,-0.137364,0.0268261,0,1,1,3
1,RZo22,-1.39893,0.259218,-0.047028,0,1,1,3
