parameter,value,CV,se_sa,rse_sa
x0_pop,6.91750980895306,,0.226176235362467,3.2696192937773
a_pop,-4.45753343388039,,0.275755696098151,6.18628441465439
b1_pop,0.720418840905985,,0.063154208508092,8.76631827516761
beta_b1_N803_1,-0.795865137872558,,0.122829072534453,15.4334028077659
beta_b1_RhmAbs_1,0.670339662358964,,0.116960380000875,17.4479277549063
b2_pop,0.0615655564242635,,0.00766601565601193,12.4517930174845
beta_b2_N803_1,-0.0285340556979306,,0.00841675954133172,29.4972422793095
omega_x0,0.8231063636295,11.8988824932953,0.163979266389874,19.9220020201041
omega_a,0.768404266743727,-17.2383287336291,0.219753769831446,28.598718063175
omega_b1,0.0599725765380961,8.32468185627624,0.0441982304882777,73.6974014451453
a_,0.642859908361295,,0.0551021851741793,8.57141415376788
